,Unnamed: 0,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
875,875,2020_10_11,-34.628532,-58.428909999999995,https://departamento.mercadolibre.com.ar/MLA-883053046-departamento-parque-chacabuco-_JM,Departamento - Parque Chacabuco,Departamento,90800.0,ARS,32.0,2.0
876,876,2020_10_11,-34.596306,-58.39875,https://departamento.mercadolibre.com.ar/MLA-883058396-departamento-barrio-norte-_JM,Departamento - Barrio Norte,Departamento,175000.0,ARS,184.0,5.0
877,877,2020_10_11,-34.591896000000006,-58.399986,https://departamento.mercadolibre.com.ar/MLA-883059734-dos-ambientes-amoblado-en-larrea-y-juncal-_JM,Dos Ambientes Amoblado En Larrea Y Juncal,Departamento,99000.0,ARS,36.0,2.0
878,878,2020_10_11,-34.550026,-58.470009999999995,https://departamento.mercadolibre.com.ar/MLA-883061793-alquiler-dpto-nunez-3-amb-frente-mluminoso-spiso-pileta-c-larralde-2600-_JM,Alquiler Dpto. Nuñez 3 Amb.-frente-m/luminoso- S/piso - Pileta- C. Larralde 2600,Departamento,120000.0,ARS,69.0,3.0
879,879,2020_10_11,-34.585840000000005,-58.42371,https://departamento.mercadolibre.com.ar/MLA-883063507-dos-ambientes-palermo-gurruchaga-y-paraguay-ubicacion-excelente-_JM,Dos Ambientes Palermo Gurruchaga Y Paraguay . Ubicacion Excelente,Departamento,94900.0,ARS,34.56,2.0
880,880,2020_10_11,-34.646652,-58.494724,https://inmueble.mercadolibre.com.ar/MLA-883066207-dueno-directo-alquila-excelente-departamento-al-frente-_JM,Dueño Directo Alquila Excelente Departamento Al Frente,Ph,106000.0,ARS,80.0,2.0
881,881,2020_10_11,-34.57382,-58.481556000000005,https://departamento.mercadolibre.com.ar/MLA-883066970-excelente-semipiso-al-frente-con-balcon-_JM,Excelente Semipiso Al Frente Con Balcon,Departamento,102000.0,ARS,48.0,2.0
882,882,2020_10_11,-34.574593,-58.489883,https://departamento.mercadolibre.com.ar/MLA-883067210-departamento-3-amb-al-contrafrente-balcn-_JM,Departamento 3 Amb. Al Contrafrente Balcòn,Departamento,114000.0,ARS,76.0,3.0
883,883,2020_10_11,-34.585922,-58.41500500000001,https://departamento.mercadolibre.com.ar/MLA-883070943-departamento-venta-con-renta-palermo-semipiso-estilo-frances-5-ambientes-en-ochava-_JM,Departamento Venta Con Renta Palermo - Semipiso Estilo Francés 5 Ambientes En Ochava,Departamento,330000.0,USD,146.0,5.0
884,884,2020_10_11,-34.585922,-58.41500500000001,https://departamento.mercadolibre.com.ar/MLA-883072963-venta-con-renta-semipiso-barrio-norte-estilo-frances-5-ambientes-en-ochava-_JM,Venta Con Renta Semipiso Barrio Norte-  Estilo Francés 5 Ambientes En Ochava,Departamento,330000.0,USD,147.0,5.0
885,885,2020_10_11,-34.59578,-58.423171999999994,https://departamento.mercadolibre.com.ar/MLA-883073870-departamento-palermo-_JM,Departamento - Palermo,Departamento,110000.0,ARS,55.0,3.0
886,886,2020_10_11,-34.602665,-58.439034,https://departamento.mercadolibre.com.ar/MLA-883074555-villa-crespo-departamento-3-ambientes-en-planta-baja-alquiler-temporario-sin-garantias-_JM,Villa Crespo. Departamento 3 Ambientes En Planta Baja. Alquiler Temporario Sin Garantías.,Departamento,101000.0,ARS,70.0,3.0
887,887,2020_10_11,-34.587452,-58.442364000000005,https://departamento.mercadolibre.com.ar/MLA-883083475-alquiler-temporario-2-ambientes-amoblado-con-patio-y-jardin-palermo-hollywood-_JM,Alquiler Temporario 2 Ambientes Amoblado Con Patio Y Jardín. Palermo Hollywood,Departamento,120000.0,ARS,74.65,2.0
888,888,2020_10_11,-34.57665,-58.44869,https://departamento.mercadolibre.com.ar/MLA-883085518-departamento-en-alquiler-en-colegiales-_JM,Departamento En Alquiler En Colegiales,Departamento,105000.0,ARS,46.0,2.0
889,889,2020_10_11,-34.614353,-58.393303,https://departamento.mercadolibre.com.ar/MLA-883086266-2-amb-alquiler-bien-ubicado-congreso-_JM,2 Amb Alquiler. Bien Ubicado. Congreso.,Departamento,90000.0,ARS,30.0,2.0
890,890,2020_10_11,-34.574234000000004,-58.492138,https://departamento.mercadolibre.com.ar/MLA-883092301-departamento-3-ambientes-amplios-excelente-estado-balcon-luz-_JM,"Departamento 3 Ambientes Amplios, Excelente Estado, Balcon, Luz",Departamento,110000.0,ARS,0.0,3.0
891,891,2020_10_11,-34.56528,-58.452766000000004,https://departamento.mercadolibre.com.ar/MLA-883092601-departamento-en-alquiler-en-belgrano-_JM,Departamento En Alquiler En Belgrano,Departamento,2200.0,USD,182.0,4.0
892,892,2020_10_11,-34.603592,-58.48815,https://departamento.mercadolibre.com.ar/MLA-883095049-monoambiente-contra-frente-cbalcon-_JM,Monoambiente Contra Frente C/balcon,Departamento,95000.0,ARS,50.0,1.0
